Word,ID,Meanings-notS,Smeaning,Num_Synonyms,Representativeness,Antonym_Count,Hyponym_Count,Hypernym_Count,Word_Frequency,Zipf_Frequency,Num_Letters,Num_Syllables,Inv_Num_Letters,Inv_Num_Syllables,Syllables_per_Letter,Flesch_Reading_Ease,Sentiment_Positive,Sentiment_Negative,Polarity,Blob_Positive,Blob_Negative,Blob_Polarity,SWN_Positive_Avg,SWN_Negative_Avg,SWN_Polarity_Avg,SWN_Positive_Max,SWN_Negative_Max,SWN_Polarity_Max,SWN_Positive_Avg4,SWN_Negative_Avg5,SWN_Polarity_Avg6,SWN_Positive_Max7,SWN_Negative_Max8,SWN_Polarity_Max9,GPT_Positive_Score,GPT_Negative_Score,DepSeek_Positive_Score,DeepSeek_Negative_Score,Sum
clear,447,45,5.438380798,4.086903603,-0.433629523,7.090752542,0.15192272,2.886867084,0.479881288,1.189899202,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,2.978879007,-0.274708362,2.191469576,0.610541466,-0.183761516,0.591217273,0,0,0,0,0,0,1.365889126,-0.264010795,1.163112482,1.787498741,1.918304476,-0.105965031,0.434089585,-1.380699315,1.237942597,0.349663141,72.7070311
light,1492,47,5.724444829,4.652116793,-0.368525337,2.303013406,1.202820162,2.334496412,0.687731879,1.358426386,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,3.161681401,-0.183761516,2.623732863,0,0,0,0,0,0,0.593049288,0.69913438,-0.039185165,1.787498741,1.918304476,-0.105965031,0.117105332,-0.448323307,1.237942597,0.349663141,70.04157007
go,1153,35,4.008060642,5.782543174,0.294917314,5.175656888,5.287760219,2.81782075,5.629957035,2.833039245,-1.954900792,-1.097762386,4.919619499,1.394672249,1.926259854,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.384977025,-0.440587413,0.572698461,0.746089574,-0.170277552,0.77325771,0.293207695,-0.673379585,-0.400310907,0.349663141,69.35843706
get,1139,37,4.294124674,5.594138777,0.154458735,2.303013406,2.168967811,4.682071769,10.47980415,3.359686694,-1.520561802,-1.097762386,2.397064432,1.394672249,0.141205999,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.191767066,0.081116225,0.084265041,1.266794157,0.351867955,0.77325771,-1.256493097,0.162543732,-0.400310907,0.349663141,68.57474673
running,2220,52,6.439604907,4.652116793,-0.472858967,3.260561233,1.338419832,5.579674112,0.433692268,1.147767406,0.216794159,-0.111480839,-0.485855631,-0.342513153,-0.368809381,0.111480839,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.087313987,0.463698894,-0.373156735,1.266794157,1.396158969,-0.105965031,-1.679138768,1.802239469,-0.400310907,0.349663141,68.40741135
hold,1243,45,5.438380798,6.065149769,-0.036976245,1.345465578,2.389317274,6.960600793,0.347087855,1.063503814,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.701138779,-0.269848039,0.686877703,1.787498741,0.351867955,1.21286908,0.962396673,-0.448323307,-0.400310907,0.349663141,67.57664756
set,2298,45,5.438380798,4.652116793,-0.320300015,0.387917751,4.084313149,5.648720446,1.698116694,1.906139733,-1.520561802,-1.097762386,2.397064432,1.394672249,0.141205999,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.058006327,-0.135591439,0.132571645,1.266794157,0.874013462,0.333646339,0.539751003,-0.22326703,-0.400310907,0.349663141,67.08043561
give,1146,45,5.438380798,3.050679421,-0.641400287,1.345465578,1.982518265,6.132044785,2.414046507,2.158930509,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.295803197,0.378085989,-0.039185165,2.308203324,1.396158969,0.77325771,-1.256493097,0.130392835,1.784027098,0.349663141,67.07086768
right,2196,36,4.151092658,1.637646445,-0.792506297,8.04830037,0.202772597,1.022616065,4.717723887,2.685577959,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,2.189818571,-0.183761516,1.849441212,0,0,0,0,0,0,1.630107875,-0.371026925,1.425518716,2.828907908,0.351867955,2.09209182,1.455483289,-1.059190347,1.784027098,0.349663141,67.02569299
pass,1828,43,5.152316767,8.326002531,0.503315595,3.260561233,3.643614221,4.198747431,0.098821872,0.768581242,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.170299294,1.020182772,-0.559226606,1.266794157,2.96259549,-1.424799142,0.22276675,0.066091042,-0.400310907,0.349663141,66.98236902
given,1147,47,5.724444829,3.615892611,-0.567454793,1.345465578,1.982518265,6.201091119,0.935997862,1.526953569,-0.651883821,-0.111480839,0.379020388,-0.342513153,0.855227543,0.111480839,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.307693041,0.29675373,0.023792331,2.308203324,1.396158969,0.77325771,-1.362154515,1.062768843,-0.400310907,0.349663141,65.85189432
point,1911,40,4.72322072,3.427488214,-0.454878805,0.387917751,3.79616385,5.02730344,1.455624339,1.800810243,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,1.389668814,-0.482323704,1.326281451,1.266794157,-0.170277552,1.21286908,0.434089585,-0.126814339,-0.400310907,0.349663141,58.89079398
free,1086,22,2.14864444,2.014455238,-0.217273189,8.04830037,0.185822638,0.26310639,1.91751454,1.990403325,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,2.978879007,-0.274708362,2.952335177,3.161681401,-0.183761516,2.623732863,0,0,0,0,0,0,0.578186985,1.367985195,-0.497203314,1.266794157,2.440449983,-0.985187772,0.997617146,1.094919739,2.8761961,0.349663141,57.64282466
works,2869,38,4.437156689,4.181105801,-0.223373462,1.345465578,4.694511663,5.441581444,0.578032956,1.274162794,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.384977025,-0.12756523,0.363369852,0.746089574,0.351867955,0.333646339,0.574971475,-0.255417926,-0.400310907,0.349663141,56.26350329
work,2866,34,3.865028627,2.862275024,-0.428629691,1.345465578,4.389412406,4.958257106,4.717723887,2.685577959,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.384977025,-0.09278499,0.34011112,0.746089574,0.351867955,0.333646339,-1.362154515,1.512881398,-0.400310907,0.349663141,56.20273731
fall,987,44,5.295348783,3.144881619,-0.603623784,3.260561233,1.168920245,5.37253511,0.231615305,0.937108426,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.120341329,0.69913438,-0.554455584,0.746089574,1.396158969,-0.545576401,-0.199878921,-0.705530482,-0.400310907,-1.679891908,55.65606445
head,1207,42,5.009284752,2.673870627,-0.66433602,2.303013406,0.96552074,5.441581444,1.322830906,1.737612549,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.259056175,1.298424714,-1.055412936,-0.295319593,2.96259549,-2.743633253,0.574971475,-0.126814339,-0.400310907,0.349663141,55.59387017
clean,446,31,3.43593258,1.543444246,-0.713297502,2.303013406,0.033273009,0.60833806,-0.009144963,0.600054058,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,2.978879007,-0.274708362,2.310207142,2.878221411,-0.183761516,2.397897799,0,0,0,0,0,0,1.275422924,0.475796369,0.603035939,2.828907908,1.918304476,0.77325771,0.751073838,-1.284246624,2.330111599,0.349663141,55.32871481
draw,796,45,5.438380798,3.992701405,-0.452517774,2.303013406,0.982470699,5.510627778,-0.174848073,0.26299969,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.001442894,-0.649268867,0.433146055,-0.295319593,-0.692423059,0.333646339,-0.869067899,-0.158965236,-0.400310907,0.349663141,54.98277311
call,351,41,4.866252736,2.391264032,-0.707278822,0.387917751,1.558769296,4.682071769,1.322830906,1.737612549,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.481582005,0.185456952,0.223817447,0.746089574,1.396158969,-0.545576401,0.36364864,-0.801983172,-0.400310907,0.349663141,53.88040263
check,415,38,4.437156689,5.970947571,0.201612193,0.387917751,1.728268883,3.646376759,0.629995603,1.31629459,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.440179868,-0.172282688,0.433146055,1.266794157,0.351867955,0.77325771,0.398869112,-0.191116133,-0.400310907,0.349663141,53.78220684
charge,410,40,4.72322072,3.804297008,-0.369881674,2.303013406,1.524869379,5.02730344,0.058406479,0.705383548,-0.217544831,-1.097762386,-0.125490619,1.394672249,-1.643847846,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.001442894,0.304703499,-0.204807799,0.22538499,0.874013462,-0.545576401,0.574971475,1.834390366,-0.400310907,-1.172503146,52.76575666
line,1498,36,4.151092658,5.405734381,0.151906268,-0.569630076,4.660611746,3.715423093,1.236226493,1.695480753,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.001442894,1.020182772,-0.683273189,-0.295319593,1.396158969,-1.424799142,-0.869067899,1.834390366,-0.400310907,0.349663141,52.73060318
open,1764,36,4.151092658,1.637646445,-0.792506297,5.175656888,-0.034526826,0.884523397,1.1958111,1.674414855,-1.086222811,-0.111480839,1.135786907,-0.342513153,1.926259854,0.111480839,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.204647728,1.799260206,-1.055412936,1.266794157,2.440449983,-0.985187772,0.751073838,-1.380699315,1.237942597,0.349663141,50.81861546
catch,379,39,4.580188705,2.48546623,-0.647212056,0.387917751,0.372272184,5.02730344,-0.119998611,0.389395078,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.279589772,0.03368862,0.179414408,1.266794157,1.396158969,-0.105965031,1.807688014,-0.126814339,-0.400310907,0.349663141,50.22577604
turn,2706,38,4.437156689,2.48546623,-0.62599145,0.387917751,4.88096121,4.198747431,0.658863741,1.337360488,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.259056175,-0.231905958,-0.032028632,-0.295319593,0.351867955,-0.545576401,1.103278563,-0.737681379,-0.400310907,0.349663141,50.13492492
beat,239,34,3.865028627,4.463712397,-0.003644037,-0.569630076,1.64351909,4.405886433,0.041085596,0.68431765,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.771396944,0.185456952,0.433146055,1.787498741,0.874013462,0.77325771,-0.657745064,1.770088572,-0.400310907,0.349663141,50.06038156
place,1890,32,3.578964596,3.050679421,-0.311446147,0.387917751,5.101310673,4.405886433,2.414046507,2.158930509,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.191767066,-0.023224503,0.154041244,0.746089574,0.351867955,0.333646339,0.152325805,0.130392835,-0.400310907,0.349663141,49.84430891
drawing,797,42,5.009284752,3.521690413,-0.482199311,2.303013406,1.389269709,5.165396108,-0.328426565,-0.221515964,0.216794159,-0.111480839,-0.485855631,-0.342513153,-0.368809381,0.111480839,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.001442894,-0.649268867,0.433146055,-0.295319593,-0.692423059,0.333646339,0.187546277,-0.673379585,-0.400310907,0.349663141,49.77445418
carry,374,41,4.866252736,1.637646445,-0.873126883,-0.569630076,0.304472349,5.303488776,-0.099790915,0.431526874,-0.651883821,-0.111480839,0.379020388,-0.342513153,0.855227543,0.111480839,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.384977025,-0.231905958,0.433146055,1.266794157,-0.170277552,1.21286908,1.068058091,-0.930586759,-0.400310907,0.349663141,49.17261738
lift,1491,36,4.151092658,3.898499206,-0.225858758,1.345465578,0.812971111,4.267793765,-0.365377781,-0.390043148,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.001442894,0.352402116,-0.236705492,0.746089574,0.874013462,-0.105965031,1.596365179,0.998467049,-0.400310907,0.349663141,49.02469507
cover,611,36,4.151092658,3.804297008,-0.249469072,0.387917751,2.643566656,5.096349774,0.145010892,0.831778936,-0.651883821,-0.111480839,0.379020388,-0.342513153,0.855227543,0.111480839,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.095162086,0.185456952,-0.055287364,1.787498741,0.351867955,1.21286908,-1.326934042,-0.930586759,-0.400310907,0.349663141,48.98445526
see,2273,25,2.577740487,4.181105801,0.416341787,-0.569630076,1.474019502,2.196403744,6.726946264,2.980500531,-1.520561802,-1.097762386,2.397064432,1.394672249,0.141205999,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.616828976,-0.482323704,0.768071829,2.308203324,-0.170277552,2.09209182,-0.375981284,0.612656287,-0.400310907,0.349663141,48.95244384
back,211,28,3.006836533,1.826050841,-0.542911548,4.21810906,0.01632305,1.574986737,5.803165861,2.854105143,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,1.351026822,-0.023224503,0.991355678,1.266794157,0.351867955,0.77325771,0.64541242,0.130392835,-0.400310907,0.349663141,48.69473335
great,1174,7,0.003164206,1.355039849,1.582016725,-0.569630076,-0.543025588,-0.565449619,3.834358877,2.517050775,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,2.978879007,-0.274708362,3.627544324,6.563201316,-0.183761516,5.333753649,0,0,0,0,0,0,3.089916456,-0.371026925,2.479914669,2.828907908,-0.170277552,2.531703191,0.328428167,0.676958081,3.968365102,0.349663141,48.20279334
sound,2415,24,2.434708471,1.166635453,-0.639039256,2.303013406,2.779166325,1.367847735,0.26625707,0.979240222,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,3.161681401,-0.183761516,2.623732863,0,0,0,0,0,0,3.089916456,-0.410775774,2.50649608,2.308203324,-0.170277552,2.09209182,-1.045170262,1.223523327,1.237942597,0.349663141,48.16700003
close,455,37,4.294124674,2.48546623,-0.603623784,2.303013406,-0.119276619,1.436894069,0.774336291,1.42162408,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.881802636,0.125833682,0.552762402,1.787498741,0.874013462,0.77325771,-0.516863174,-0.191116133,-0.400310907,0.349663141,47.58570045
shot,2332,38,4.437156689,4.181105801,-0.223373462,-0.569630076,0.796021153,5.648720446,0.410597758,1.126701508,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.387862812,1.576666649,-1.334517747,0.22538499,1.918304476,-1.424799142,-1.326934042,1.480730501,-0.400310907,-2.187280671,47.01819332
love,1525,10,0.432260253,2.391264032,1.60630162,0.387917751,-0.000626908,0.401199058,3.26854338,2.390655387,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,2.978879007,-0.274708362,3.698432424,4.01206138,-0.183761516,3.301238059,0,0,0,0,0,0,2.220471639,-0.54492814,1.968222517,3.349612492,-0.170277552,2.971314561,-1.714359241,-0.769832275,4.514449604,0.349663141,46.84464748
well,2825,22,2.14864444,0.036209072,-1.028609439,2.303013406,-0.339626083,-0.220217948,5.629957035,2.833039245,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,2.978879007,-0.274708362,1.549932275,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,2.236701276,-0.353775927,1.852114915,2.308203324,0.698572572,1.3605785,0.610191948,-0.287568823,2.330111599,0.349663141,46.7556882
working,2868,33,3.721996611,2.862275024,-0.397570134,1.345465578,2.287617522,3.922562095,1.08033855,1.611217161,0.216794159,-0.111480839,-0.485855631,-0.342513153,-0.368809381,0.111480839,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.481582005,-0.023224503,0.363369852,0.746089574,0.351867955,0.333646339,1.279380926,-0.898435863,-0.400310907,0.349663141,46.13090379
top,2654,22,2.14864444,2.202859635,-0.140003071,1.345465578,-0.034526826,2.81782075,1.599965027,1.864007937,-1.520561802,-1.097762386,2.397064432,1.394672249,0.141205999,1.097762386,2.978879007,-0.274708362,1.131101754,4.01206138,-0.183761516,3.301238059,0,0,0,0,0,0,-0.001442894,1.854908592,-1.241482812,-0.295319593,0.874013462,-0.985187772,-0.164658448,0.419750906,-0.400310907,0.349663141,45.44271391
drop,803,32,3.578964596,3.710094809,-0.125514923,2.303013406,1.202820162,3.991608429,0.016258998,0.642185854,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,3.640224104,-1.677839188,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.51666945,0.046335985,-0.404168378,-0.295319593,0.351867955,-0.545576401,1.807688014,0.323298216,-0.400310907,-1.172503146,44.74482467
fair,984,17,1.433484362,0.695624461,-0.553625472,2.303013406,-0.492175712,-0.08212528,0.016258998,0.642185854,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,2.978879007,-0.274708362,1.815762648,5.712821337,-0.183761516,4.656248452,0,0,0,0,0,0,1.2866235,0.649193516,0.495169347,2.308203324,1.918304476,0.333646339,0.715853365,-0.609077791,2.330111599,0.349663141,44.70500406
raise,2065,31,3.43593258,3.615892611,-0.110092057,3.260561233,1.253670039,4.405886433,-0.223346544,0.136604302,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.256170388,-0.09278499,0.24707618,0.746089574,0.351867955,0.333646339,0.610191948,-0.287568823,-0.400310907,0.349663141,44.10394204
drive,801,34,3.865028627,1.637646445,-0.753618721,0.387917751,0.745171276,3.646376759,0.231615305,0.937108426,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,1.157816863,-0.440587413,1.130908083,1.266794157,-0.170277552,1.21286908,-0.516863174,0.741259874,-0.400310907,0.349663141,43.81421461
support,2527,22,2.14864444,3.710094809,0.478157882,0.387917751,2.491017027,2.12735741,1.409435319,1.779744345,0.216794159,-0.111480839,-0.485855631,-0.342513153,-0.368809381,0.111480839,2.978879007,-0.274708362,2.310207142,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.616828976,0.185456952,0.321504131,0.746089574,1.396158969,-0.545576401,0.36364864,-0.062512546,2.330111599,0.349663141,43.60920341
move,1650,21,2.005612424,1.072433254,-0.56314896,4.21810906,12.15249351,0.60833806,0.745468154,1.400558182,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.384977025,0.185456952,0.154041244,0.746089574,0.351867955,0.333646339,1.807688014,-0.448323307,-0.400310907,0.349663141,43.60771619
change,403,20,1.862580409,0.413017865,-0.816116612,0.387917751,16.52558287,1.505940403,1.455624339,1.800810243,-0.217544831,-1.097762386,-0.125490619,1.394672249,-1.643847846,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.440179868,-0.172282688,0.433146055,1.787498741,0.874013462,0.77325771,0.046664387,-0.062512546,-0.400310907,0.349663141,43.56563651
greatest,1175,7,0.003164206,1.637646445,1.946290143,-0.569630076,-0.543025588,-0.841634955,-0.191591593,0.220867894,0.651133149,-0.111480839,-0.756129389,-0.342513153,-0.751320923,0.111480839,2.978879007,-0.274708362,3.698432424,8.263961273,-0.183761516,6.688764041,0,0,0,0,0,0,3.476336375,-0.440587413,2.80553695,2.828907908,-0.170277552,2.531703191,0.927176201,-1.348548418,3.968365102,0.349663141,43.55993431
